t,bin_idx,disp,rps_am,rps_bc,rps_tm,lam_fixed,rps_fixed,lam_adaptive,rps_adaptive
2019.25,5,0.278460237398225,0.14293427652519927,0.13167168983237937,0.1261569108979088,0.93,0.13180038751611559,1.0,0.13167168983237937
2019.5,5,0.1023069009693877,0.17156628829081638,0.19611225,0.16592593533007263,0.93,0.194225119402625,1.0,0.19611225
2019.75,5,0.12093957582222221,0.09075059840000001,0.061924999999999994,0.0782762822785932,0.915,0.06398751946343999,1.0,0.061924999999999994
2020.0,4,0.21623695309948984,0.5242128016198978,0.4726634999999999,0.5093119824434844,0.93,0.47612382642043743,1.0,0.4726634999999999
2020.25,4,1.4291566431955927,0.41440029899908165,0.41250000000000014,0.3526775815815838,0.96,0.41080843684203505,2.3490273619842873e-230,0.41440029899908165
2020.5,4,1.2134899530325443,0.9480189164053255,1.2406250000000005,1.014433762956021,0.935,1.218947512171813,0.0,0.9480189164053255
2020.75,4,0.6419042932692309,0.18398831912721889,0.10552500000000002,0.14977110781908368,0.76,0.1197221330894201,1.0,0.10552500000000002
2021.0,9,0.4217993968133173,3.7480730718430437,3.896,3.8054366917872207,0.795,3.8648260986821343,1.0,3.896
2021.25,9,0.9382657554455407,3.151172478129122,3.4678999999999998,3.2463883640216387,0.715,3.3719585933491922,3.867274578587707e-55,3.151172478129122
2021.5,9,0.9508902539158164,0.4777753740688776,0.41065000000000007,0.4121984096544135,0.55,0.4330054754810905,2.936858642283742e-56,0.4777753740688776
2021.75,9,0.8907130315500686,0.09741248285322357,0.010000000000000002,0.05096195816267588,0.58,0.03438765086419753,2.0820951172175508e-29,0.09741248285322357
2022.0,9,3.2016249143209876,0.8339149900548697,0.91980289,0.7213215564377609,0.615,0.8703310717618552,0.0,0.8339149900548697
2022.25,9,1.3964066990104165,0.1771099413715278,0.09767225,0.08467066831263696,0.5750000000000001,0.1227716933347114,7.520293787249996e-212,0.1771099413715278
2022.5,9,0.9955150612244899,0.036546816326530625,0.0056250000000000015,0.011918583501422402,0.605,0.01377559630306123,1.3364634726945278e-82,0.036546816326530625
2022.75,9,0.06483237311385455,0.007898765432098767,0.0,0.00246368791943503,0.615,0.0011707945061728397,1.0,0.0
2023.0,8,2.6110600194765428,0.4864671832054871,0.4209000000000001,0.42850101889884595,0.62,0.43540731195709464,0.0,0.4864671832054871
2023.25,8,0.7726095426414266,0.2711836264844993,0.16909999999999997,0.2466096474401567,0.64,0.2005339180990578,1.0,0.16909999999999997
